card_numer,bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
1,2,3,1908,55,1546,1389000,898,San Francisco
9,1,1,1910,8,1102,935000,848,New York
20,3,3,1989,90,2157,758000,351,San Francisco
30,2,1,1900,7,1300,1950000,1500,New York
33,1,1,2005,19,715,1135000,1587,New York
40,1,1,1963,12,700,835000,1193,New York
50,2,2,2016,11,1520,4895000,3220,New York
63,1,2,1960,10,1000,999000,999,New York
75,2,2,1910,5,1887,3500000,1855,New York
77,1,1,1955,74,600,650000,1083,San Francisco
94,1,1,1927,10,2275,1495000,657,San Francisco
96,2,3,1905,67,1457,1099000,754,San Francisco
120,2,2,2016,10,2018,6525000,3233,New York
125,2,3,1948,52,1665,899000,540,San Francisco
131,2,1,1998,6,1086,1088000,1002,San Francisco
134,1,0,2009,6,546,775000,1419,New York
154,2,2,1987,24,1600,2900000,1813,New York
171,2,2,1962,89,1850,1680000,908,San Francisco
203,1,2,1913,108,900,699000,777,San Francisco
232,1,1,2011,35,669,499999,747,New York
