bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
2,2,2005,2,1260,2498000,1983,New York
2.3,4,1904,13,2492,1398000,561,San Francisco
2,2,2008,0,1159,1298000,1120,San Francisco
1,1,2000,7,990,795000,803,San Francisco
1,1,2004,10,768,1420000,1849,New York
5,5,2014,108,5000,2990000,598,San Francisco
1,2,1942,61,707,599000,847,San Francisco
3,3,2016,10,3007,10225000,3400,New York
3,3,2016,15,2017,4875000,2417,New York
2,3,1989,185,1524,1080000,709,San Francisco
3,3,1975,79,1555,888000,571,San Francisco
1,3,1925,141,1752,1319000,753,San Francisco
2,2,1973,10,1400,1599000,1142,New York
2,2,1986,23,1463,3500000,2392,New York
2.5,3,2008,23,2354,1995000,847,San Francisco
1,1,1955,74,600,775000,1292,San Francisco
1,1,2015,7,714,1595000,2234,New York
1,2,1939,39,1049,545000,520,New York
1,0,1930,10,500,439000,878,New York
1,1,1930,10,900,975000,1083,New York
