card_number,bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
3,2,2,2007,7,808,779000,964,San Francisco
5,2.5,3,1928,160,1905,1388000,729,San Francisco
8,1,3,1895,68,1465,1095000,747,San Francisco
13,1,1,2008,29,847,799000,943,San Francisco
34,1,0,1900,10,387,545000,1408,New York
42,1,1,1900,27,450,535000,1189,New York
78,1,1,1987,3,826,1249000,1512,New York
90,1,1,1900,70,811,725000,894,San Francisco
102,3,3,2006,1,1991,2695000,1354,New York
104,1,0,1960,13,400,349000,873,New York
105,1,1,2011,14,674,649000,963,San Francisco
110,1,1,1955,74,600,650000,1083,San Francisco
111,2,4,1951,131,2050,1798000,877,San Francisco
114,1,2,1925,73,700,365000,521,New York
121,2,2,2012,8,1420,3159990,2225,New York
136,2,2,2005,16,1144,1725000,1508,New York
163,2,2,1900,10,1000,1185000,1185,New York
174,5,4,2016,10,3699,13750000,3717,New York
187,4,4,1900,75,3816,2650000,694,San Francisco
217,2,3,1942,34,1441,688000,477,San Francisco
